362, 169
359, 161
359, 156
362, 149
369, 145
408, 143
412, 138
412, 134
409, 130
402, 128
361, 128
361, 121
408, 121
415, 123
420, 127
421, 142
415, 149
407, 152
377, 152
369, 156
369, 162
372, 165
391, 167
391, 174
373, 174
288, 173
288, 121
297, 122
298, 140
341, 121
352, 122
350, 127
318, 141
341, 142
351, 146
355, 152
355, 163
352, 169
340, 174
145, 167
144, 130
149, 124
156, 121
205, 122
204, 128
163, 128
156, 130
153, 135
153, 161
156, 165
162, 167
204, 167
204, 174
155, 174
214, 173
213, 123
215, 121
223, 122
224, 161
271, 121
278, 120
280, 122
280, 174
271, 173
270, 134
226, 172
221, 175
216, 175
595, 196
594, 195
602, 268
571, 223
526, 174
501, 152
472, 130
446, 113
430, 106
389, 92
344, 80
270, 67
204, 62
127, 62
21, 67
20, 51
141, 49
229, 53
311, 65
353, 75
393, 88
396, 87
380, 79
314, 55
238, 37
190, 30
141, 26
67, 26
27, 30
24, 15
60, 11
110, 11
157, 14
205, 20
285, 37
330, 51
373, 68
416, 89
450, 110
514, 142
553, 166
592, 194
556, 169
513, 144
480, 128
478, 129
516, 160
549, 194
575, 226
604, 271
603, 270
339, 274
336, 267
336, 254
342, 245
356, 240
400, 238
407, 233
407, 225
403, 221
392, 219
338, 219
336, 216
338, 209
401, 209
410, 211
419, 218
420, 237
413, 246
399, 251
356, 252
350, 256
349, 264
353, 269
367, 272
378, 272
380, 274
380, 280
378, 282
351, 281
30, 281
29, 225
31, 219
36, 214
51, 209
111, 209
113, 211
113, 217
111, 219
59, 219
46, 222
43, 225
43, 277
39, 282
227, 213
229, 209
236, 208
251, 228
306, 228
322, 207
328, 207
332, 211
332, 215
283, 283
275, 283
269, 278
119, 213
121, 209
128, 208
143, 228
198, 228
214, 207
220, 207
224, 211
224, 215
175, 283
167, 283
161, 278
